departure_station,POITIERS,QUIMPER,RENNES,ST PIERRE DES CORPS,PARIS MONTPARNASSE,NANCY,PARIS EST,REIMS,NANTES,STRASBOURG,PARIS NORD,LILLE,TOURCOING,ANGOULEME,TOURS,VANNES,ANGERS SAINT LAUD,BREST,LA ROCHELLE VILLE,LAVAL,TOULOUSE MATABIAU,LYON PART DIEU,MARSEILLE ST CHARLES,AIX EN PROVENCE TGV,PARIS LYON,SAINT ETIENNE CHATEAUCREUX,GENEVE,BARCELONA,METZ,ST MALO,DUNKERQUE,PARIS VAUGIRARD,LE CREUSOT MONTCEAU MONTCHANIN,MONTPELLIER,MACON LOCHE,CHAMBERY CHALLES LES EAUX,AVIGNON TGV,GRENOBLE,PERPIGNAN,ARRAS,LE MANS,MULHOUSE VILLE,FRANCFORT,BORDEAUX ST JEAN,BELLEGARDE (AIN),NIMES,TOULON,ZURICH,STUTTGART,BESANCON FRANCHE COMTE TGV,NICE VILLE,LAUSANNE,DOUAI,VALENCE ALIXAN TGV,DIJON VILLE,MARNE LA VALLEE,ITALIE,MADRID,ANNECY,year
GENEVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
LAUSANNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
BARCELONA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
TOULOUSE MATABIAU,0,0,0,0,11574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
DOUAI,0,0,0,0,0,0,0,0,0,0,13008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
LILLE,0,0,0,0,0,0,0,0,0,0,38412,0,0,0,0,0,0,0,0,0,0,19296,12012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
NICE VILLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
VALENCE ALIXAN TGV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
FRANCFORT,0,0,0,0,0,0,9996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
STUTTGART,0,0,0,0,0,0,9696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
